               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07212,            0.043385,                   0,             0.69303,              0.6754,             0.72905,             0.33999,            0.055684,            0.033473,                   0,             0.07006,           0.0033267,           0.0033267
                   1,            0.049467,            0.032386,                   0,             0.97141,             0.83952,             0.91186,             0.54579,            0.040119,             0.02946,                   0,            0.039994,           0.0065941,           0.0065941
                   2,            0.041897,            0.028398,                   0,              0.9837,              0.8652,             0.93443,             0.54753,            0.036563,            0.026611,                   0,           0.0098619,           0.0097955,           0.0097955
                   3,            0.034337,            0.025261,                   0,             0.96995,             0.88775,              0.9407,             0.71938,             0.03221,            0.023461,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.029838,             0.02282,                   0,              0.9713,             0.89138,             0.94697,             0.76285,            0.029174,             0.02138,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.026951,            0.021272,                   0,             0.97198,             0.89197,              0.9436,             0.80191,             0.02746,            0.019593,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.02503,            0.020203,                   0,             0.97382,             0.89452,             0.94937,             0.81629,            0.025781,            0.019072,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.023718,            0.019397,                   0,             0.96756,             0.90395,             0.95127,             0.83375,            0.025184,            0.018154,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.022715,            0.018563,                   0,             0.97227,             0.90216,              0.9555,             0.83895,             0.02371,              0.0169,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.021634,            0.017905,                   0,              0.9706,             0.90785,             0.95343,             0.84704,            0.023957,            0.017174,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.020917,            0.017527,                   0,             0.97552,             0.90611,             0.95892,             0.85838,            0.022722,            0.016148,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.020249,            0.017038,                   0,               0.975,             0.90397,             0.95385,             0.84889,            0.023561,            0.016776,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.019468,            0.016618,                   0,             0.96575,             0.91082,             0.95644,             0.85479,            0.022361,            0.015949,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.018887,             0.01641,                   0,             0.97061,             0.91063,             0.96052,             0.86402,            0.021998,            0.016385,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.018137,             0.01569,                   0,             0.96779,             0.91652,             0.96195,             0.87172,            0.021845,            0.015022,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.017813,            0.015566,                   0,             0.97364,             0.91357,             0.95994,             0.86606,            0.021192,             0.01523,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.017636,            0.015363,                   0,             0.96961,             0.91456,             0.96136,             0.86834,             0.02163,            0.014936,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.01717,            0.015136,                   0,             0.97847,             0.91102,             0.95948,              0.8681,            0.021359,            0.015065,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.01694,            0.014748,                   0,             0.97639,             0.90986,             0.96055,             0.87945,            0.020532,            0.014224,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.016526,            0.014501,                   0,             0.97819,             0.91609,             0.96458,             0.87936,            0.020233,            0.014013,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.016165,            0.014481,                   0,             0.97532,             0.91573,             0.96462,             0.88642,            0.020044,            0.013704,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.015806,            0.014141,                   0,             0.97497,               0.918,             0.96324,             0.88664,            0.020165,            0.013758,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.015915,            0.014122,                   0,              0.9797,             0.91023,             0.95997,             0.88314,            0.020194,            0.013967,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.01537,            0.014091,                   0,             0.97714,             0.91927,             0.96364,             0.89371,            0.020095,            0.013325,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.015014,            0.013719,                   0,             0.97464,             0.92087,             0.96611,             0.89401,            0.019525,            0.013463,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.014956,            0.013669,                   0,             0.96919,             0.92052,              0.9628,             0.89752,            0.019262,            0.013323,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.014736,            0.013587,                   0,             0.97752,              0.9228,             0.96852,             0.89799,            0.019018,              0.0131,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.014622,              0.0134,                   0,             0.97031,             0.92104,              0.9643,             0.89244,            0.019328,             0.01344,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.014374,            0.013249,                   0,             0.96919,             0.92732,             0.96565,             0.89659,            0.018968,             0.01322,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.014305,            0.012989,                   0,             0.97843,             0.91829,             0.96542,             0.89885,            0.018719,             0.01309,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.014138,            0.013027,                   0,              0.9804,             0.91809,             0.96493,             0.89981,            0.019094,            0.012668,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.013873,            0.012925,                   0,             0.97418,             0.92643,             0.96708,             0.90189,            0.018388,            0.012892,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.013894,            0.012787,                   0,             0.97376,             0.92634,             0.96757,             0.90112,             0.01841,             0.01293,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.013286,            0.012438,                   0,             0.97578,             0.92929,             0.96848,             0.90374,            0.018272,            0.012424,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.01356,            0.012688,                   0,             0.98015,             0.92148,             0.96744,             0.90215,            0.018267,            0.012886,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.013066,            0.012482,                   0,             0.98151,             0.91848,             0.96777,             0.90431,             0.01815,            0.012673,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.013345,            0.012459,                   0,             0.98017,             0.92254,             0.96864,             0.90355,            0.018143,            0.012554,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.013097,            0.012238,                   0,             0.97496,              0.9232,             0.96579,             0.90249,            0.018473,            0.012849,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.013071,            0.012424,                   0,             0.96913,             0.93117,              0.9684,             0.90649,             0.01791,            0.012526,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.01277,            0.012103,                   0,             0.97501,             0.92731,             0.97086,             0.90647,             0.01758,            0.012277,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.012751,            0.012103,                   0,             0.97678,             0.92528,             0.97044,             0.91004,            0.017429,            0.012168,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.01233,            0.011904,                   0,             0.97583,             0.92794,             0.97014,             0.91038,            0.017248,            0.012029,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.012333,            0.011918,                   0,             0.97608,              0.9283,              0.9709,             0.91027,            0.017206,             0.01206,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.012187,            0.011708,                   0,             0.98141,             0.92418,             0.97074,             0.91056,             0.01729,            0.011694,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.012124,            0.011675,                   0,             0.98057,             0.92614,             0.97148,             0.91215,            0.017009,             0.01179,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.011868,            0.011475,                   0,              0.9834,             0.92398,             0.97077,              0.9123,            0.016829,            0.011686,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.012097,            0.011617,                   0,             0.97861,             0.92732,             0.97038,             0.91283,            0.017038,            0.012018,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.011854,            0.011401,                   0,             0.98072,             0.92654,             0.97165,             0.91251,            0.017098,            0.011774,                   0,            0.005446,            0.005446,            0.005446
