               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097978,             0.11402,                   0,              0.5741,             0.62051,             0.54374,             0.18469,            0.070572,            0.080502,                   0,             0.07006,           0.0033267,           0.0033267
                   1,             0.06836,            0.084866,                   0,             0.47764,             0.72598,             0.53013,              0.2737,            0.061218,            0.084562,                   0,                0.04,           0.0066001,           0.0066001
                   2,            0.061553,            0.078166,                   0,             0.58663,              0.7855,             0.64532,             0.31934,            0.060535,            0.073294,                   0,           0.0098799,           0.0098135,           0.0098135
                   3,             0.05203,            0.071645,                   0,             0.98654,             0.83532,             0.89084,             0.60485,            0.043466,            0.054339,                   0,             0.00973,             0.00973,             0.00973
                   4,            0.044723,            0.063952,                   0,             0.99235,             0.84108,             0.89946,             0.66652,            0.038845,            0.049409,                   0,             0.00973,             0.00973,             0.00973
                   5,            0.040636,            0.057929,                   0,             0.98818,             0.84345,             0.90049,              0.6944,            0.036729,            0.049148,                   0,             0.00964,             0.00964,             0.00964
                   6,             0.03809,            0.055508,                   0,             0.99005,               0.846,             0.90207,             0.71236,            0.035221,            0.048193,                   0,             0.00955,             0.00955,             0.00955
                   7,            0.035732,             0.05201,                   0,             0.99168,             0.85131,             0.91634,             0.70491,               0.035,            0.043636,                   0,             0.00946,             0.00946,             0.00946
                   8,            0.033745,            0.050721,                   0,              0.9898,             0.85504,             0.92225,             0.72781,            0.033083,            0.041483,                   0,             0.00937,             0.00937,             0.00937
                   9,            0.032287,            0.048258,                   0,             0.98891,             0.85862,             0.92088,             0.75095,            0.032499,            0.040417,                   0,             0.00928,             0.00928,             0.00928
                  10,            0.031415,            0.047779,                   0,             0.98808,             0.86276,             0.92867,             0.76091,            0.031108,            0.037047,                   0,             0.00919,             0.00919,             0.00919
                  11,            0.030246,            0.046064,                   0,             0.98623,             0.86722,             0.92926,             0.76645,            0.030225,            0.036905,                   0,              0.0091,              0.0091,              0.0091
                  12,             0.02928,            0.045006,                   0,             0.98561,             0.86898,             0.93129,             0.76523,            0.030249,            0.036584,                   0,             0.00901,             0.00901,             0.00901
                  13,            0.029057,            0.043973,                   0,             0.98259,             0.87095,             0.93443,             0.78116,            0.029501,            0.036567,                   0,             0.00892,             0.00892,             0.00892
                  14,            0.027667,            0.042989,                   0,             0.98267,             0.87566,             0.93768,             0.78152,            0.029032,            0.036101,                   0,             0.00883,             0.00883,             0.00883
                  15,             0.02749,            0.042752,                   0,             0.98134,             0.87814,             0.93725,             0.79746,            0.028605,            0.034057,                   0,             0.00874,             0.00874,             0.00874
                  16,            0.026718,            0.041883,                   0,             0.97831,              0.8858,             0.93955,             0.79998,            0.028202,            0.033158,                   0,             0.00865,             0.00865,             0.00865
                  17,             0.02641,            0.041327,                   0,             0.97935,             0.88254,             0.93955,             0.79901,            0.027596,            0.033636,                   0,             0.00856,             0.00856,             0.00856
                  18,            0.025742,             0.04076,                   0,             0.97981,             0.88116,             0.94144,              0.8024,            0.027426,            0.033246,                   0,             0.00847,             0.00847,             0.00847
                  19,            0.025231,            0.040376,                   0,             0.98027,             0.88352,             0.94344,             0.80997,             0.02724,            0.032688,                   0,             0.00838,             0.00838,             0.00838
                  20,             0.02509,            0.039306,                   0,             0.97758,             0.89059,             0.94354,             0.80861,            0.027093,            0.031956,                   0,             0.00829,             0.00829,             0.00829
                  21,            0.024539,            0.039193,                   0,             0.96814,             0.89432,               0.943,             0.82121,            0.026535,            0.031776,                   0,              0.0082,              0.0082,              0.0082
                  22,            0.024026,            0.038534,                   0,             0.97855,             0.88902,             0.94485,             0.82331,            0.026257,            0.031153,                   0,             0.00811,             0.00811,             0.00811
                  23,            0.023608,            0.038079,                   0,             0.97529,             0.89152,             0.94527,              0.8263,            0.025929,             0.03076,                   0,             0.00802,             0.00802,             0.00802
                  24,            0.023545,            0.037926,                   0,             0.97947,             0.89023,             0.94463,             0.83134,            0.025949,            0.030623,                   0,             0.00793,             0.00793,             0.00793
                  25,            0.023104,            0.037554,                   0,             0.97411,             0.89295,             0.94442,             0.82947,            0.026053,            0.029971,                   0,             0.00784,             0.00784,             0.00784
                  26,            0.022802,            0.036948,                   0,             0.98072,             0.88914,             0.94742,             0.83104,            0.025375,            0.030138,                   0,             0.00775,             0.00775,             0.00775
                  27,            0.022781,            0.036838,                   0,             0.98229,             0.89322,              0.9471,             0.82855,            0.025346,            0.029838,                   0,             0.00766,             0.00766,             0.00766
                  28,            0.022535,            0.036432,                   0,             0.98345,             0.89157,             0.94869,             0.83172,            0.025265,            0.029555,                   0,             0.00757,             0.00757,             0.00757
                  29,            0.022038,            0.036147,                   0,              0.9815,             0.89157,             0.94842,             0.84283,             0.02459,            0.029779,                   0,             0.00748,             0.00748,             0.00748
                  30,            0.022068,            0.035979,                   0,             0.97694,             0.89883,             0.94994,             0.84427,            0.024542,            0.028896,                   0,             0.00739,             0.00739,             0.00739
                  31,            0.021724,             0.03557,                   0,              0.9792,             0.89696,             0.94916,             0.84039,            0.024414,            0.028904,                   0,              0.0073,              0.0073,              0.0073
                  32,            0.021173,            0.034993,                   0,              0.9845,             0.89818,             0.95017,             0.84781,            0.024321,            0.028651,                   0,             0.00721,             0.00721,             0.00721
                  33,            0.021357,             0.03556,                   0,             0.97237,             0.90571,             0.95063,             0.84741,               0.024,            0.028556,                   0,             0.00712,             0.00712,             0.00712
                  34,            0.021123,            0.034942,                   0,              0.9749,             0.90316,             0.95146,             0.84745,            0.024007,            0.028722,                   0,             0.00703,             0.00703,             0.00703
                  35,             0.02078,            0.034548,                   0,             0.97913,             0.90332,             0.95172,             0.85624,            0.023819,            0.027963,                   0,             0.00694,             0.00694,             0.00694
                  36,            0.020431,            0.033975,                   0,             0.97645,             0.90399,             0.95062,             0.85299,            0.023903,            0.028505,                   0,             0.00685,             0.00685,             0.00685
                  37,            0.020473,            0.034068,                   0,             0.98322,             0.89753,             0.95206,             0.86028,              0.0238,            0.027525,                   0,             0.00676,             0.00676,             0.00676
                  38,            0.020517,            0.033995,                   0,             0.97571,             0.90395,             0.95254,             0.85758,            0.023464,            0.028337,                   0,             0.00667,             0.00667,             0.00667
                  39,            0.020296,            0.033569,                   0,             0.97522,             0.90438,             0.95329,             0.85878,            0.023456,            0.027657,                   0,             0.00658,             0.00658,             0.00658
                  40,            0.020148,            0.033415,                   0,             0.98115,             0.89955,             0.95245,             0.86257,            0.023585,            0.027309,                   0,             0.00649,             0.00649,             0.00649
                  41,            0.019722,            0.033069,                   0,             0.97955,             0.90327,             0.95381,             0.86605,            0.023256,            0.027036,                   0,              0.0064,              0.0064,              0.0064
                  42,            0.019481,            0.032299,                   0,             0.98414,             0.90171,             0.95496,             0.86458,            0.023118,            0.027114,                   0,             0.00631,             0.00631,             0.00631
                  43,            0.019642,            0.032556,                   0,             0.97657,              0.9067,             0.95305,             0.86596,            0.023071,            0.027111,                   0,             0.00622,             0.00622,             0.00622
                  44,            0.019337,            0.032614,                   0,             0.98148,             0.90562,             0.95493,             0.86952,            0.022978,            0.026869,                   0,             0.00613,             0.00613,             0.00613
                  45,            0.019461,            0.032569,                   0,             0.97823,             0.90923,             0.95519,             0.87064,            0.022808,            0.026627,                   0,             0.00604,             0.00604,             0.00604
                  46,            0.019223,            0.032062,                   0,             0.98328,               0.901,             0.95637,             0.87441,             0.02267,            0.026676,                   0,             0.00595,             0.00595,             0.00595
                  47,            0.019016,            0.032193,                   0,             0.97978,             0.90408,             0.95569,             0.87295,            0.022708,            0.026786,                   0,             0.00586,             0.00586,             0.00586
                  48,            0.018797,            0.031452,                   0,             0.97921,             0.90473,             0.95563,             0.87425,            0.022642,            0.026484,                   0,             0.00577,             0.00577,             0.00577
                  49,            0.018726,            0.032047,                   0,             0.98293,             0.90506,             0.95483,             0.87337,            0.022506,             0.02661,                   0,             0.00568,             0.00568,             0.00568
                  50,            0.018502,            0.031589,                   0,             0.97032,             0.91198,             0.95649,             0.87724,            0.022352,            0.025996,                   0,             0.00559,             0.00559,             0.00559
                  51,            0.018428,            0.031211,                   0,             0.97966,              0.9067,             0.95685,             0.87537,            0.022438,            0.026264,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.018409,             0.03134,                   0,             0.98085,             0.90525,             0.95604,             0.87648,            0.022482,            0.026258,                   0,             0.00541,             0.00541,             0.00541
                  53,            0.018307,            0.031037,                   0,             0.97512,             0.90945,             0.95777,             0.87938,            0.022236,            0.025658,                   0,             0.00532,             0.00532,             0.00532
                  54,            0.018083,            0.031005,                   0,             0.98108,             0.90434,             0.95703,             0.87983,            0.022272,            0.025841,                   0,             0.00523,             0.00523,             0.00523
                  55,            0.017778,            0.030715,                   0,             0.97913,             0.90748,             0.95771,             0.87884,            0.022252,             0.02554,                   0,             0.00514,             0.00514,             0.00514
                  56,            0.017931,            0.030926,                   0,              0.9809,             0.90631,              0.9573,             0.88096,            0.022082,            0.025503,                   0,             0.00505,             0.00505,             0.00505
                  57,            0.017856,            0.030591,                   0,             0.97967,             0.90856,             0.95823,             0.88199,            0.021901,            0.025394,                   0,             0.00496,             0.00496,             0.00496
                  58,            0.017816,            0.030702,                   0,             0.98147,             0.90505,             0.95714,             0.87839,            0.022025,            0.025381,                   0,             0.00487,             0.00487,             0.00487
                  59,            0.017373,            0.030112,                   0,             0.97141,             0.91443,             0.95854,             0.88233,            0.021823,            0.024902,                   0,             0.00478,             0.00478,             0.00478
                  60,            0.017613,            0.030025,                   0,             0.97827,             0.91081,             0.95955,             0.88444,            0.021721,            0.025059,                   0,             0.00469,             0.00469,             0.00469
                  61,            0.017341,            0.030083,                   0,             0.97945,             0.90824,             0.95934,             0.88644,            0.021651,             0.02492,                   0,              0.0046,              0.0046,              0.0046
                  62,            0.017389,             0.02991,                   0,             0.97551,             0.91279,             0.96057,              0.8862,            0.021716,            0.024772,                   0,             0.00451,             0.00451,             0.00451
                  63,            0.016989,            0.029197,                   0,             0.97495,             0.90984,             0.96021,             0.88693,            0.021585,            0.024735,                   0,             0.00442,             0.00442,             0.00442
                  64,            0.016717,            0.029443,                   0,             0.97623,             0.91144,             0.96116,             0.88555,            0.021624,            0.024654,                   0,             0.00433,             0.00433,             0.00433
                  65,            0.016776,            0.029031,                   0,             0.97681,              0.9103,             0.96083,             0.88677,            0.021515,            0.024956,                   0,             0.00424,             0.00424,             0.00424
                  66,            0.016864,            0.029308,                   0,             0.98065,             0.90729,             0.96067,             0.88719,            0.021575,             0.02454,                   0,             0.00415,             0.00415,             0.00415
                  67,            0.016522,            0.028687,                   0,             0.98082,             0.90827,             0.96128,              0.8896,            0.021422,             0.02441,                   0,             0.00406,             0.00406,             0.00406
                  68,            0.016501,            0.028465,                   0,             0.97735,             0.91161,             0.96044,              0.8902,            0.021269,            0.024265,                   0,             0.00397,             0.00397,             0.00397
                  69,            0.016467,            0.028444,                   0,             0.97956,             0.91122,             0.96116,             0.89121,            0.021245,             0.02425,                   0,             0.00388,             0.00388,             0.00388
                  70,            0.016201,             0.02852,                   0,             0.97742,               0.912,             0.96102,             0.89068,            0.021292,            0.024302,                   0,             0.00379,             0.00379,             0.00379
                  71,            0.016187,             0.02821,                   0,             0.97789,             0.91225,             0.96157,             0.89306,            0.021201,            0.024137,                   0,              0.0037,              0.0037,              0.0037
                  72,            0.016061,             0.02807,                   0,             0.97631,             0.91481,               0.962,             0.89112,            0.021225,            0.024068,                   0,             0.00361,             0.00361,             0.00361
                  73,            0.015929,            0.027995,                   0,             0.97667,             0.91514,             0.96182,             0.89268,            0.021297,            0.024118,                   0,             0.00352,             0.00352,             0.00352
                  74,            0.015877,            0.027934,                   0,             0.98101,             0.91309,             0.96262,             0.89359,            0.021178,            0.024045,                   0,             0.00343,             0.00343,             0.00343
                  75,            0.015708,            0.027843,                   0,             0.97981,             0.91259,             0.96302,             0.89469,             0.02117,            0.023976,                   0,             0.00334,             0.00334,             0.00334
                  76,             0.01578,            0.027668,                   0,             0.97254,             0.91836,             0.96233,             0.89575,            0.021165,            0.023888,                   0,             0.00325,             0.00325,             0.00325
                  77,            0.015487,            0.027514,                   0,             0.97607,             0.91377,             0.96226,             0.89646,            0.021075,            0.023915,                   0,             0.00316,             0.00316,             0.00316
                  78,             0.01551,            0.027535,                   0,              0.9729,              0.9169,             0.96339,             0.89592,            0.020986,            0.024035,                   0,             0.00307,             0.00307,             0.00307
                  79,            0.015372,            0.027493,                   0,             0.98045,             0.90964,             0.96234,             0.89536,            0.020992,            0.023852,                   0,             0.00298,             0.00298,             0.00298
                  80,            0.015265,            0.026986,                   0,             0.98279,             0.91004,             0.96307,              0.8963,            0.020926,            0.023811,                   0,             0.00289,             0.00289,             0.00289
                  81,            0.015419,            0.027128,                   0,             0.98325,             0.91117,             0.96311,             0.89639,            0.020879,            0.023805,                   0,              0.0028,              0.0028,              0.0028
                  82,            0.014958,            0.026573,                   0,              0.9842,              0.9122,             0.96279,             0.89795,            0.020826,            0.023682,                   0,             0.00271,             0.00271,             0.00271
                  83,            0.015127,            0.027062,                   0,             0.98308,             0.91277,             0.96368,             0.89809,            0.020798,            0.023454,                   0,             0.00262,             0.00262,             0.00262
                  84,            0.015021,            0.026766,                   0,             0.98305,             0.91122,              0.9637,             0.89857,            0.020807,            0.023374,                   0,             0.00253,             0.00253,             0.00253
                  85,            0.014862,            0.026614,                   0,             0.98428,             0.91023,             0.96363,             0.89858,            0.020817,            0.023339,                   0,             0.00244,             0.00244,             0.00244
                  86,            0.014861,             0.02647,                   0,             0.97912,             0.91456,             0.96379,             0.89896,            0.020796,            0.023418,                   0,             0.00235,             0.00235,             0.00235
                  87,            0.014771,            0.026532,                   0,             0.98388,             0.91118,             0.96326,             0.89832,            0.020799,            0.023367,                   0,             0.00226,             0.00226,             0.00226
