               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088478,            0.073282,                   0,             0.49248,             0.63622,             0.48419,             0.19271,            0.065169,            0.044271,                   0,             0.07006,           0.0033267,           0.0033267
                   1,            0.059785,            0.044196,                   0,             0.66826,             0.77871,             0.68208,             0.34673,             0.05449,            0.040224,                   0,            0.039994,           0.0065941,           0.0065941
                   2,            0.052866,            0.040025,                   0,             0.94671,             0.80615,             0.85462,             0.49352,            0.048451,            0.036527,                   0,           0.0098619,           0.0097955,           0.0097955
                   3,             0.04401,            0.034983,                   0,             0.98404,             0.83587,             0.88552,             0.61252,            0.042397,            0.029963,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.037536,            0.030779,                   0,             0.98428,             0.83245,             0.87877,             0.64474,            0.040158,            0.029934,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.033749,            0.028087,                   0,             0.99237,             0.84255,             0.90788,             0.69287,            0.036492,            0.026174,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.031167,            0.026019,                   0,              0.9804,             0.85602,             0.91536,             0.74484,            0.032019,            0.023272,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.029245,            0.024728,                   0,             0.99217,             0.84875,              0.9186,             0.75207,            0.031719,            0.023328,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.027795,            0.023422,                   0,             0.98798,             0.85604,             0.92404,             0.76634,            0.030707,            0.021812,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.026729,            0.022503,                   0,             0.99638,              0.8464,             0.91133,             0.77686,            0.031821,            0.022715,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.025681,            0.021941,                   0,             0.97794,              0.8709,             0.92918,             0.80174,            0.028191,            0.020017,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024891,             0.02123,                   0,             0.98412,             0.86565,              0.9289,              0.8051,            0.027644,            0.019782,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.023727,            0.020514,                   0,             0.97746,             0.87728,             0.93609,              0.8217,            0.026172,            0.018354,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.023059,            0.020181,                   0,              0.9741,             0.87912,             0.93259,             0.82093,            0.026867,            0.018778,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.02241,            0.019377,                   0,             0.98449,             0.87429,              0.9359,             0.81671,            0.025848,            0.018381,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.021612,            0.018989,                   0,              0.9818,             0.87948,             0.93894,             0.83131,            0.025544,            0.017797,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.021388,            0.018671,                   0,              0.9846,             0.87998,             0.94046,             0.82801,            0.024996,             0.01743,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.020623,            0.018288,                   0,             0.98271,             0.88183,             0.94116,             0.83918,            0.024554,            0.016672,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02018,            0.017798,                   0,              0.9851,             0.88214,             0.94012,             0.84547,            0.024524,             0.01636,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.019976,            0.017558,                   0,              0.9854,             0.88823,              0.9424,             0.83928,            0.024248,            0.016372,                   0,            0.008218,            0.008218,            0.008218
