               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10158,            0.053128,                   0,            0.097565,               0.121,            0.024869,           0.0061677,            0.099495,            0.049334,                   0,             0.07006,           0.0033267,           0.0033267
                   1,            0.067437,            0.035787,                   0,             0.76511,             0.74131,             0.74161,             0.35437,            0.053094,            0.031708,                   0,                0.04,           0.0066001,           0.0066001
                   2,            0.056285,            0.030868,                   0,             0.85045,             0.76517,             0.79889,             0.46445,            0.048326,            0.026888,                   0,           0.0098799,           0.0098135,           0.0098135
                   3,            0.046843,            0.027419,                   0,             0.94426,             0.79526,              0.8567,              0.5562,            0.043444,            0.025778,                   0,             0.00973,             0.00973,             0.00973
                   4,            0.040817,            0.024491,                   0,             0.97867,             0.82916,             0.88231,             0.68324,            0.036449,            0.023161,                   0,             0.00973,             0.00973,             0.00973
                   5,            0.037102,            0.021944,                   0,             0.98547,              0.8297,             0.87542,             0.65839,            0.040264,            0.021912,                   0,             0.00964,             0.00964,             0.00964
                   6,            0.034487,            0.020734,                   0,             0.98839,               0.846,             0.90025,             0.71505,            0.034159,            0.019959,                   0,             0.00955,             0.00955,             0.00955
                   7,            0.032353,            0.019657,                   0,             0.99194,             0.84636,             0.91016,             0.70943,            0.033495,             0.01943,                   0,             0.00946,             0.00946,             0.00946
                   8,            0.030702,            0.018916,                   0,             0.98919,             0.85229,             0.91149,             0.76844,            0.031157,            0.017267,                   0,             0.00937,             0.00937,             0.00937
                   9,            0.029104,            0.017922,                   0,             0.98526,             0.85354,              0.9114,             0.73649,            0.031719,            0.017418,                   0,             0.00928,             0.00928,             0.00928
                  10,            0.027967,            0.017596,                   0,             0.99195,             0.84702,             0.91765,             0.78636,            0.029933,            0.015856,                   0,             0.00919,             0.00919,             0.00919
                  11,            0.027095,             0.01685,                   0,             0.98184,             0.85838,             0.91944,             0.77821,            0.028502,            0.016705,                   0,              0.0091,              0.0091,              0.0091
                  12,             0.02619,            0.016508,                   0,             0.98304,             0.86502,             0.92332,             0.78758,            0.028562,            0.015269,                   0,             0.00901,             0.00901,             0.00901
                  13,            0.025509,            0.015971,                   0,             0.98218,             0.86622,             0.92632,             0.80664,            0.027408,            0.014803,                   0,             0.00892,             0.00892,             0.00892
                  14,            0.024688,            0.015742,                   0,              0.9782,             0.86898,             0.92472,             0.80624,            0.026718,             0.01487,                   0,             0.00883,             0.00883,             0.00883
                  15,            0.024467,            0.015467,                   0,             0.98479,             0.86584,             0.92723,             0.82143,            0.026692,            0.014228,                   0,             0.00874,             0.00874,             0.00874
                  16,            0.023413,             0.01527,                   0,             0.97508,             0.87604,              0.9301,             0.82643,            0.026378,            0.014047,                   0,             0.00865,             0.00865,             0.00865
                  17,            0.023208,             0.01501,                   0,              0.9748,             0.87429,             0.92153,              0.8103,            0.026167,            0.014829,                   0,             0.00856,             0.00856,             0.00856
                  18,            0.022918,            0.014768,                   0,             0.97449,             0.87035,             0.92821,             0.82033,            0.025913,            0.014212,                   0,             0.00847,             0.00847,             0.00847
                  19,            0.022352,            0.014558,                   0,              0.9809,             0.87232,             0.93406,              0.8271,            0.024979,            0.013609,                   0,             0.00838,             0.00838,             0.00838
                  20,            0.022057,            0.014123,                   0,              0.9769,             0.88077,             0.93599,               0.839,            0.025036,            0.012858,                   0,             0.00829,             0.00829,             0.00829
                  21,            0.021694,            0.014121,                   0,             0.97819,              0.8811,             0.93799,             0.84394,            0.024273,            0.012803,                   0,              0.0082,              0.0082,              0.0082
                  22,            0.021326,            0.013929,                   0,             0.97534,             0.88097,             0.93737,             0.83518,            0.024939,            0.012964,                   0,             0.00811,             0.00811,             0.00811
                  23,            0.021011,            0.013797,                   0,             0.97592,             0.88607,             0.93872,             0.84645,            0.023925,            0.012594,                   0,             0.00802,             0.00802,             0.00802
                  24,            0.021073,            0.013665,                   0,             0.97781,             0.88283,             0.93974,             0.83853,            0.024547,            0.012761,                   0,             0.00793,             0.00793,             0.00793
                  25,            0.020846,            0.013679,                   0,              0.9781,             0.88666,             0.94098,             0.84536,            0.024119,            0.012311,                   0,             0.00784,             0.00784,             0.00784
                  26,            0.020469,            0.013383,                   0,               0.974,             0.88706,              0.9413,             0.84828,             0.02376,             0.01238,                   0,             0.00775,             0.00775,             0.00775
                  27,            0.020468,            0.013316,                   0,             0.97942,             0.88568,             0.94237,             0.85184,            0.023835,            0.011971,                   0,             0.00766,             0.00766,             0.00766
                  28,            0.020173,            0.013147,                   0,             0.97788,             0.88554,             0.94129,             0.85566,            0.023276,            0.011965,                   0,             0.00757,             0.00757,             0.00757
                  29,            0.020051,            0.013211,                   0,             0.97315,             0.88986,             0.94231,             0.85929,            0.023342,            0.011827,                   0,             0.00748,             0.00748,             0.00748
                  30,            0.019614,            0.012984,                   0,             0.97664,              0.8902,             0.94289,             0.85901,            0.023225,            0.011855,                   0,             0.00739,             0.00739,             0.00739
                  31,            0.019134,             0.01277,                   0,             0.97293,              0.8897,             0.94376,             0.86203,            0.022858,            0.011554,                   0,              0.0073,              0.0073,              0.0073
                  32,            0.019106,            0.012815,                   0,              0.9726,             0.89243,             0.94295,             0.85898,            0.022766,             0.01144,                   0,             0.00721,             0.00721,             0.00721
                  33,            0.019134,            0.012827,                   0,             0.97433,             0.89373,             0.94522,             0.86344,            0.022377,            0.011369,                   0,             0.00712,             0.00712,             0.00712
                  34,            0.018836,            0.012539,                   0,             0.97638,             0.89295,             0.94685,             0.86314,            0.022396,            0.011344,                   0,             0.00703,             0.00703,             0.00703
                  35,              0.0189,            0.012571,                   0,             0.98095,             0.89003,             0.94549,             0.86347,            0.022491,            0.011355,                   0,             0.00694,             0.00694,             0.00694
                  36,            0.018348,            0.012309,                   0,             0.97601,             0.89507,             0.94767,             0.86643,            0.022257,            0.011275,                   0,             0.00685,             0.00685,             0.00685
                  37,            0.018497,            0.012433,                   0,             0.98061,             0.88961,             0.94447,             0.86673,            0.022569,            0.011341,                   0,             0.00676,             0.00676,             0.00676
                  38,            0.018571,            0.012381,                   0,             0.98403,             0.89236,             0.94693,             0.86623,            0.022251,            0.011072,                   0,             0.00667,             0.00667,             0.00667
                  39,            0.018147,            0.012099,                   0,             0.97314,             0.89648,             0.94799,             0.87196,            0.022188,            0.010854,                   0,             0.00658,             0.00658,             0.00658
                  40,            0.018154,            0.012104,                   0,             0.97557,             0.89405,             0.94885,             0.86884,            0.022028,            0.010875,                   0,             0.00649,             0.00649,             0.00649
                  41,            0.018004,            0.012002,                   0,             0.96864,             0.90395,             0.95037,             0.87125,            0.021791,            0.010745,                   0,              0.0064,              0.0064,              0.0064
                  42,            0.017618,            0.011692,                   0,             0.97851,             0.89472,             0.94905,              0.8742,            0.021752,            0.010752,                   0,             0.00631,             0.00631,             0.00631
                  43,            0.017761,            0.011798,                   0,             0.97365,             0.89995,             0.94958,             0.87292,            0.021854,            0.010594,                   0,             0.00622,             0.00622,             0.00622
                  44,            0.017556,            0.011798,                   0,             0.97629,             0.89904,             0.94907,             0.87399,            0.021709,            0.010597,                   0,             0.00613,             0.00613,             0.00613
                  45,            0.017255,            0.011752,                   0,             0.97979,             0.89521,             0.95045,             0.87671,            0.021499,            0.010572,                   0,             0.00604,             0.00604,             0.00604
                  46,            0.017096,            0.011658,                   0,             0.98045,              0.8964,             0.95193,             0.87686,            0.021405,             0.01054,                   0,             0.00595,             0.00595,             0.00595
                  47,            0.017312,            0.011796,                   0,             0.97865,             0.90029,              0.9509,             0.87869,            0.021324,            0.010411,                   0,             0.00586,             0.00586,             0.00586
                  48,             0.01723,            0.011543,                   0,             0.97537,             0.90237,             0.95217,             0.87736,            0.021293,            0.010435,                   0,             0.00577,             0.00577,             0.00577
                  49,            0.016738,            0.011503,                   0,             0.97704,             0.90273,               0.952,             0.87658,            0.021309,            0.010187,                   0,             0.00568,             0.00568,             0.00568
                  50,            0.016894,             0.01158,                   0,             0.97615,             0.90023,             0.95079,             0.87803,            0.021361,            0.010296,                   0,             0.00559,             0.00559,             0.00559
                  51,            0.016489,            0.011187,                   0,             0.97654,              0.8993,             0.95188,             0.87875,            0.021214,            0.010205,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.016486,            0.011307,                   0,             0.97376,             0.90336,              0.9515,             0.87857,            0.021135,            0.010271,                   0,             0.00541,             0.00541,             0.00541
                  53,            0.016598,            0.011191,                   0,             0.97867,             0.89766,             0.95205,             0.88022,            0.021124,            0.010109,                   0,             0.00532,             0.00532,             0.00532
                  54,              0.0164,            0.011322,                   0,             0.97864,             0.90014,             0.95381,             0.88182,            0.020954,           0.0099976,                   0,             0.00523,             0.00523,             0.00523
                  55,            0.015897,            0.011091,                   0,             0.97919,             0.89825,             0.95326,              0.8824,            0.020993,            0.010073,                   0,             0.00514,             0.00514,             0.00514
                  56,            0.016074,            0.011139,                   0,             0.97919,             0.90179,             0.95415,              0.8842,            0.020775,           0.0099762,                   0,             0.00505,             0.00505,             0.00505
                  57,            0.016177,             0.01118,                   0,              0.9783,             0.90318,             0.95474,             0.88419,            0.020845,           0.0098491,                   0,             0.00496,             0.00496,             0.00496
