               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15191,          0.00071231,                   0,          9.8713e-05,           0.0035682,          0.00013809,          3.6252e-05,             0.14487,          0.00087817,                   0,            0.080669,          0.00059788,          0.00059788
                   1,             0.14504,          0.00070588,                   0,          0.00023739,            0.042819,          0.00012608,           3.835e-05,             0.14342,          0.00087406,                   0,            0.061259,           0.0011883,           0.0011883
                   2,              0.1435,          0.00076465,                   0,           0.0003363,             0.06066,          0.00018277,          5.5472e-05,             0.14047,           0.0012135,                   0,             0.04184,           0.0017691,           0.0017691
                   3,             0.13601,           0.0014109,                   0,            0.023391,            0.016949,           0.0027882,          0.00068413,             0.12948,           0.0021326,                   0,            0.022411,           0.0023403,           0.0023403
                   4,             0.11813,           0.0024645,                   0,            0.048664,             0.10616,            0.013622,           0.0031361,             0.11596,           0.0030131,                   0,           0.0029726,           0.0029019,           0.0029019
                   5,             0.10832,           0.0030049,                   0,             0.11263,             0.10259,            0.030662,           0.0086757,             0.10956,            0.003521,                   0,             0.00288,             0.00288,             0.00288
                   6,              0.1041,           0.0032509,                   0,             0.14327,             0.13262,            0.044253,            0.010984,             0.10794,           0.0036155,                   0,             0.00288,             0.00288,             0.00288
                   7,             0.10156,           0.0033301,                   0,             0.21014,             0.18287,            0.094634,            0.028511,            0.094866,           0.0044556,                   0,            0.002856,            0.002856,            0.002856
                   8,            0.097749,           0.0035686,                   0,             0.17909,             0.16949,            0.066665,            0.017063,             0.10168,           0.0039476,                   0,            0.002832,            0.002832,            0.002832
                   9,            0.094785,           0.0037076,                   0,             0.20575,             0.20607,             0.10211,            0.030818,            0.095815,           0.0050618,                   0,            0.002808,            0.002808,            0.002808
                  10,            0.093602,            0.003736,                   0,             0.29066,             0.22658,             0.14647,            0.047762,            0.089929,           0.0047879,                   0,            0.002784,            0.002784,            0.002784
                  11,            0.091699,           0.0038018,                   0,             0.32063,             0.25245,             0.17575,               0.059,            0.086815,           0.0048414,                   0,             0.00276,             0.00276,             0.00276
