               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11872,           0.0026548,                   0,           0.0001011,           0.0068749,          5.2968e-05,          1.1709e-05,             0.10669,           0.0049176,                   0,            0.081038,          0.00099801,          0.00099801
                   1,            0.089604,           0.0067839,                   0,             0.79446,             0.61206,              0.6943,             0.28405,            0.068545,           0.0083401,                   0,            0.062036,           0.0019964,           0.0019964
                   2,            0.063608,           0.0063724,                   0,             0.90744,             0.72167,             0.78588,             0.41768,            0.060754,           0.0078309,                   0,            0.043033,           0.0029932,           0.0029932
                   3,            0.059094,           0.0060001,                   0,             0.95843,             0.76409,             0.82556,             0.50185,            0.056221,           0.0073216,                   0,            0.024028,           0.0039884,           0.0039884
                   4,            0.055853,           0.0056486,                   0,             0.93502,             0.72921,             0.80694,             0.46402,            0.056285,           0.0070517,                   0,           0.0050219,            0.004982,            0.004982
                   5,             0.05333,           0.0054844,                   0,             0.89653,              0.7527,             0.79884,             0.48081,            0.054036,           0.0073737,                   0,             0.00498,             0.00498,             0.00498
                   6,            0.047628,           0.0048412,                   0,             0.95099,             0.79709,             0.84762,             0.58296,            0.048666,           0.0056095,                   0,             0.00498,             0.00498,             0.00498
                   7,            0.043863,           0.0044037,                   0,             0.97421,             0.80141,             0.85178,             0.63515,            0.046164,           0.0048632,                   0,            0.004976,            0.004976,            0.004976
                   8,            0.044473,           0.0042971,                   0,             0.95688,             0.80199,             0.84684,             0.58258,            0.047854,           0.0053349,                   0,            0.004972,            0.004972,            0.004972
                   9,             0.04126,           0.0040705,                   0,             0.97443,             0.80099,             0.85297,             0.65681,            0.044708,           0.0046286,                   0,            0.004968,            0.004968,            0.004968
                  10,            0.040145,           0.0038493,                   0,             0.98297,             0.81628,             0.86292,             0.66599,            0.043704,           0.0042753,                   0,            0.004964,            0.004964,            0.004964
                  11,            0.038549,           0.0036922,                   0,             0.98415,             0.81697,             0.86701,             0.70079,            0.041112,           0.0044111,                   0,             0.00496,             0.00496,             0.00496
                  12,            0.037946,            0.003596,                   0,             0.97913,             0.82007,              0.8673,             0.70239,            0.041484,           0.0042427,                   0,            0.004956,            0.004956,            0.004956
                  13,            0.037253,           0.0035491,                   0,             0.98647,             0.82047,             0.86973,             0.72512,            0.039109,           0.0039956,                   0,            0.004952,            0.004952,            0.004952
                  14,            0.037121,           0.0033832,                   0,             0.98882,              0.8185,              0.8712,             0.71939,            0.041882,           0.0038994,                   0,            0.004948,            0.004948,            0.004948
                  15,             0.03669,           0.0033839,                   0,             0.97813,             0.81709,             0.86155,             0.68909,            0.042527,           0.0044509,                   0,            0.004944,            0.004944,            0.004944
                  16,            0.035369,           0.0033179,                   0,             0.98896,             0.82872,             0.87376,             0.72888,            0.038674,           0.0036576,                   0,             0.00494,             0.00494,             0.00494
                  17,            0.034839,           0.0032247,                   0,             0.99051,             0.83186,             0.87582,             0.74379,            0.039034,           0.0034933,                   0,            0.004936,            0.004936,            0.004936
                  18,            0.033352,            0.003107,                   0,             0.98902,             0.83029,             0.87632,             0.74745,            0.037708,           0.0035511,                   0,            0.004932,            0.004932,            0.004932
                  19,             0.03314,           0.0030912,                   0,             0.98964,             0.83107,             0.87251,             0.72664,            0.040058,           0.0035491,                   0,            0.004928,            0.004928,            0.004928
                  20,            0.033146,           0.0030257,                   0,             0.98746,             0.83496,             0.87554,             0.74604,            0.039268,           0.0032951,                   0,            0.004924,            0.004924,            0.004924
                  21,            0.033416,           0.0029469,                   0,             0.99028,             0.83284,             0.87774,             0.75259,            0.037105,           0.0033351,                   0,             0.00492,             0.00492,             0.00492
                  22,            0.033402,           0.0030371,                   0,              0.9817,             0.83245,              0.8793,             0.74831,            0.039051,           0.0033965,                   0,            0.004916,            0.004916,            0.004916
                  23,            0.032375,           0.0029662,                   0,             0.99068,             0.83548,             0.88071,             0.77414,            0.035465,           0.0031647,                   0,            0.004912,            0.004912,            0.004912
                  24,            0.030807,           0.0028135,                   0,             0.99347,             0.83834,             0.88428,              0.7645,             0.03627,           0.0030233,                   0,            0.004908,            0.004908,            0.004908
                  25,            0.031168,           0.0028017,                   0,              0.9878,             0.84264,             0.88384,             0.77502,            0.035607,           0.0029476,                   0,            0.004904,            0.004904,            0.004904
                  26,            0.031756,           0.0028066,                   0,             0.98864,             0.83756,             0.88115,               0.769,             0.03662,           0.0030471,                   0,              0.0049,              0.0049,              0.0049
                  27,            0.031602,           0.0027851,                   0,             0.99292,             0.83363,             0.88443,             0.77243,            0.035779,           0.0032251,                   0,            0.004896,            0.004896,            0.004896
                  28,            0.031075,           0.0027195,                   0,             0.99065,             0.83932,             0.88969,             0.78541,            0.033951,           0.0029095,                   0,            0.004892,            0.004892,            0.004892
                  29,            0.030312,           0.0027007,                   0,             0.99029,             0.84171,             0.88745,             0.77604,            0.033992,           0.0031271,                   0,            0.004888,            0.004888,            0.004888
                  30,            0.030576,           0.0027584,                   0,              0.9914,             0.83697,             0.88742,             0.78054,            0.034754,            0.003072,                   0,            0.004884,            0.004884,            0.004884
                  31,            0.031102,           0.0027683,                   0,             0.98732,             0.83854,             0.88449,             0.77927,            0.035177,           0.0030307,                   0,             0.00488,             0.00488,             0.00488
                  32,            0.030187,           0.0026942,                   0,             0.98901,             0.84109,             0.88673,             0.78023,            0.034899,           0.0029178,                   0,            0.004876,            0.004876,            0.004876
                  33,            0.030459,           0.0026494,                   0,              0.9857,             0.84718,             0.89042,             0.79214,            0.033806,           0.0028327,                   0,            0.004872,            0.004872,            0.004872
                  34,            0.030776,            0.002658,                   0,             0.98851,             0.84482,             0.88841,             0.78337,            0.035004,            0.002942,                   0,            0.004868,            0.004868,            0.004868
                  35,            0.028653,           0.0026047,                   0,             0.99099,             0.84275,             0.89097,             0.79506,            0.034327,           0.0027528,                   0,            0.004864,            0.004864,            0.004864
                  36,            0.029399,           0.0025059,                   0,              0.9843,              0.8464,             0.89131,             0.79698,             0.03296,           0.0027201,                   0,             0.00486,             0.00486,             0.00486
                  37,            0.029086,           0.0025252,                   0,             0.98984,             0.84179,             0.88981,             0.79907,            0.033771,           0.0027428,                   0,            0.004856,            0.004856,            0.004856
                  38,            0.029398,           0.0025422,                   0,             0.99121,             0.84171,             0.89105,               0.801,            0.033662,           0.0027232,                   0,            0.004852,            0.004852,            0.004852
                  39,             0.02911,           0.0025623,                   0,             0.99303,             0.83953,             0.88931,             0.79798,            0.034299,           0.0028147,                   0,            0.004848,            0.004848,            0.004848
                  40,            0.028658,           0.0024986,                   0,             0.98845,              0.8462,             0.89184,             0.79762,            0.033218,           0.0026319,                   0,            0.004844,            0.004844,            0.004844
                  41,            0.029064,           0.0024772,                   0,             0.99082,              0.8482,             0.89229,             0.79721,             0.03337,           0.0026503,                   0,             0.00484,             0.00484,             0.00484
                  42,             0.02867,           0.0025232,                   0,             0.98764,             0.84777,             0.89277,             0.79326,            0.033532,           0.0026893,                   0,            0.004836,            0.004836,            0.004836
                  43,            0.028814,            0.002557,                   0,             0.99125,              0.8457,             0.89318,             0.80277,            0.032978,           0.0026341,                   0,            0.004832,            0.004832,            0.004832
                  44,            0.029036,            0.002511,                   0,             0.99238,             0.84456,             0.89221,             0.79991,            0.032966,           0.0026003,                   0,            0.004828,            0.004828,            0.004828
                  45,            0.028424,           0.0025104,                   0,             0.99171,             0.84581,             0.89365,             0.80728,            0.032334,           0.0026422,                   0,            0.004824,            0.004824,            0.004824
                  46,            0.028303,           0.0023991,                   0,             0.99468,             0.84432,             0.89415,             0.81245,            0.032352,           0.0026136,                   0,             0.00482,             0.00482,             0.00482
